smid,楼盘名称,城区,物业类型,开发商,总套数,总面积,住宅套数,住宅面积,可售总套数,可售总面积,可售住宅套数,可售住宅面积,已售总套数,已售总面积,已售住宅套数,已售住宅面积,累积成交毛坯均价,历史开盘信息,历史开盘信息（次数）
600,同人·春江时代花园,滨江区,住宅,浙江同人置业有限公司,851,145709.36,801,130506.59,7,1634.53,1,155.61,812,136892.35,791,129054.35,9424,20054012#20054014#20054017#20054036#20064021#20074010#20084013#,7
769,万均·九月庭院,江干区,住宅,浙江万均置业有限公司,1007,127268.98,992,124775.18,68,8870.47,55,7065.11,937,117710.07,937,117710.07,10847,20070129#20080043#20090038#20090056#20090120#,5
2585,万科·草庄,江干区,住宅,杭州万科郡园置业有限公司,235,34309.64,215,32175.3,181,24808.15,171,23303.27,43,8743.1,42,8694.34,30662,20110009#,1
791,万科·金色城品,上城区,"办公,其他",杭州南都佑圣房地产开发有限公司,215,17644.28,0,0,2,4468.04,0,0,211,13077.64,0,0,19118,20080024#,1
737,万科·魅力之城,江干区,"住宅,商业,其他",杭州万科置业有限公司,1826,187270.65,1778,181402.92,0,0,0,0,1802,184839.42,1778,181402.92,9492,20070037#20070070#20070089#20070113#20080029#20080058#,6
774,万科·西溪蝶园,西湖区,住宅,杭州万坤置业有限公司,2427,425683.71,2374,344876.29,793,98004.01,788,96289.2,1580,247251,1573,246639.63,22358,20070142#20080087#20080151#20090034#20100061#20100083#20110007#20110017#,8
589,万科·逸天广场,滨江区,"商业,办公,其他",杭州银都置业有限公司,1272,172660.46,802,126922.71,4,671.75,4,671.75,1196,161480.62,771,121820.4,8667,20044023#20054030#20054034#20074025#20084002#20084037#,6
835,万象城·悦府,江干区,"住宅,其他",华润新鸿基房地产（杭州）有限公司,645,105350.59,625,102988.06,3,1588.28,3,1588.28,622,101399.78,622,101399.78,28003,20080104#,1
3790,万亚·金沙湖1号,下沙区,"商业,办公,其他",浙江万亚置业有限公司,783,48822.99,0,0,459,30350.81,0,0,314,17937.32,0,0,18715,20113014#20113029#,2
2529,万银国际大厦,江干区,"商业,办公,其他",杭州万银置业有限公司,336,88155.29,0,0,0,0,0,0,287,53723.35,0,0,17385,20080079#,1
888,万源绸庄,上城区,其他,杭州新惠房地产开发有限公司,3,5140.32,0,0,0,0,0,0,1,4341.14,0,0,29221,20090005#,1
584,温兴·风情苑,滨江区,"住宅,商业,其他",杭州温兴房地产开发有限公司,972,132490.32,917,127598.04,2,253.52,1,93,943,128080.65,905,125511.47,6474,20054001#20054002#20054007#20054008#20054009#20054016#20054018#20054027#20054037#20054040#,10
604,西房·锦绣江南,滨江区,住宅,杭州锦湖房地产开发有限公司,914,162325.45,885,155862.12,10,3234.46,1,184.58,883,155507.41,882,155327.56,8298,20054015#20054021#20064005#20064022#20074002#20074009#20084004#,7
1226,西房·云溪香山,之江区,住宅,杭州西景房地产开发有限公司,1212,162217.92,1151,156274.57,16,3722.07,16,3722.07,1162,154858.63,1134,152383.96,7613,20065002#20065003#20065005#20065006#20075001#20075002#20075005#20075006#20085002#20085003#20085006#,11
1240,西房·云溪印象,之江区,"商业,办公",杭州西景房地产开发有限公司,658,49885.13,137,17640.39,91,9699.59,0,0,554,39291.16,137,17640.39,11203,20085009#20095010#20105001#20105007#20105009#,5
745,西港发展中心,西湖区,"商业,办公",亿科置业(杭州)有限公司,431,72935.86,0,0,5,1367.87,0,0,407,69917.27,0,0,7449,20070058#20070073#20070074#20070075#20070105#20080119#20080120#,7
760,西湖8号公馆,上城区,"住宅,商业,办公,其他",浙江一通房地产开发有限公司,61,8431.65,52,8048.01,0,0,0,0,50,7689.25,45,7394.35,59961,20070104#,1
1120,西溪天堂悦居,西湖区,其他,杭州西溪投资发展有限公司,173,29791.24,0,0,45,8362.95,0,0,111,20277.55,0,0,39243,20090145#20090146#20100040#,3
718,西子·银马公寓,西湖区,"商业,办公,其他",浙江银马房地产开发有限公司,658,111179.03,633,101218.78,11,7743.34,6,1144.84,641,102017.35,627,100073.94,17896,20060089#20060090#20060141#20070093#20080015#,5
574,西子铭苑,下城区,"住宅,商业,办公,其他",杭州铭都房地产开发有限公司,467,55537.67,403,47950.96,0,0,0,0,284,38737.87,247,33950.16,15267,20040100#20080063#,2
2513,香溢·白金海岸,滨江区,住宅,浙江香溢置业股份有限公司,1630,231020.95,1540,220920.76,6,741.7,5,670.23,1557,221766.59,1499,215082.28,6545,20044008#20094021#,2
2516,香溢·大学苑,上城区,"住宅,商业,办公,其他",杭州香溢房地产开发有限公司,140,18301.79,118,14022.44,1,31.63,0,0,132,17692.95,118,14022.44,14070,20050021#,1
746,香溢德信·银树湾,拱墅区,"住宅,其他",浙江香溢德信置业有限公司,799,81557.93,748,76991.24,0,0,0,0,790,80628.97,748,76991.24,10138,20070059#20070099#20070148#,3
686,协安·景上公寓,拱墅区,"住宅,商业",浙江协安置业投资有限公司,564,66637.87,517,62690.29,0,0,0,0,552,64987.61,517,62690.29,10003,20060046#20060082#20070039#20080052#,4
530,协安·清水公寓,拱墅区,"住宅,其他",浙江世贸房地产开发有限公司,509,82172.15,472,71592.21,36,11115.04,20,4300.29,422,63623.06,417,62455.68,17073,20040040#20060034#20090140#,3
866,协安·上郡公寓,西湖区,住宅,杭州协安置业有限公司,704,67865.8,672,64114.04,9,755.64,8,634.26,689,66326.01,664,63479.78,12855,20080156#20090059#20090112#,3
2589,欣盛·东方福邸,拱墅区,"住宅,商业",杭州欣盛嘉业房地产开发有限公司,436,64669.51,403,57625.34,221,32247.53,197,26611.61,204,30678.87,204,30678.87,25218,20110023#20110047#,2
2532,欣盛·东方郡,滨江区,住宅,杭州欣盛宏业房地产开发有限公司,3284,328930.67,3158,306395.93,9,2558.11,3,560.85,3256,322033.91,3155,305835.08,15149,20084030#20084036#20094005#20094007#20094008#20094013#20094016#20094026#20094032#20094040#20094046#20094055#20094062#20104004#,14
714,欣盛·东方润园,江干区,"住宅,办公",杭州欣盛房地产开发有限公司,703,223359.09,697,222253.61,1,651.79,1,651.79,696,221601.82,696,221601.82,25766,20060101#20060102#20060153#20070043#20070077#20070107#20080041#,7
2531,新帝·朗郡,之江区,住宅,浙江新帝置业有限公司,1337,196451.68,1330,195596.22,213,48623.7,213,48623.7,1117,146972.52,1117,146972.52,14826,20085005#20095002#20095005#20095008#20095011#20105004#20105006#20105013#,8
4698,新江花园,江干区,商业,杭州新江花园房产开发有限公司,94,13125.17,0,0,0,0,0,0,94,13125.17,0,0,11623,20090049#,1
894,新青年广场,拱墅区,办公,杭州盛德房地产开发有限公司,880,65019.93,0,0,2,117.71,0,0,851,58427.41,0,0,9453,20050003#20050048#20050082#20070151#,4
860,新世界·柏悦轩,滨江区,"商业,办公,其他",杭州丽晶置业有限公司,457,47664.43,0,0,0,0,0,0,453,41587.2,0,0,9187,20084035#,1
